Disease,Description,Diet,Medication,Precaution_1,Precaution_2,Precaution_3,Precaution_4
Fungal infection,Fungal infection is a common skin condition caused by fungi.,"['Antifungal Diet', 'Probiotics', 'Garlic', 'Coconut oil', 'Turmeric']","['Antifungal Cream', 'Fluconazole', 'Terbinafine', 'Clotrimazole', 'Ketoconazole']",bath twice,use detol or neem in bathing water,keep infected area dry,use clean cloths
Fungal infection,Fungal infection is a common skin condition caused by fungi.,"['Antifungal Diet', 'Probiotics', 'Garlic', 'Coconut oil', 'Turmeric']","['Antifungal Cream', 'Fluconazole', 'Terbinafine', 'Clotrimazole', 'Ketoconazole']",bath twice,use detol or neem in bathing water,keep infected area dry,use clean cloths
Fungal infection,Fungal infection is a common skin condition caused by fungi.,"['Antifungal Diet', 'Probiotics', 'Garlic', 'Coconut oil', 'Turmeric']","['Antifungal Cream', 'Fluconazole', 'Terbinafine', 'Clotrimazole', 'Ketoconazole']",bath twice,use detol or neem in bathing water,keep infected area dry,use clean cloths
Fungal infection,Fungal infection is a common skin condition caused by fungi.,"['Antifungal Diet', 'Probiotics', 'Garlic', 'Coconut oil', 'Turmeric']","['Antifungal Cream', 'Fluconazole', 'Terbinafine', 'Clotrimazole', 'Ketoconazole']",bath twice,use detol or neem in bathing water,keep infected area dry,use clean cloths
Fungal infection,Fungal infection is a common skin condition caused by fungi.,"['Antifungal Diet', 'Probiotics', 'Garlic', 'Coconut oil', 'Turmeric']","['Antifungal Cream', 'Fluconazole', 'Terbinafine', 'Clotrimazole', 'Ketoconazole']",bath twice,use detol or neem in bathing water,keep infected area dry,use clean cloths
Fungal infection,Fungal infection is a common skin condition caused by fungi.,"['Antifungal Diet', 'Probiotics', 'Garlic', 'Coconut oil', 'Turmeric']","['Antifungal Cream', 'Fluconazole', 'Terbinafine', 'Clotrimazole', 'Ketoconazole']",bath twice,use detol or neem in bathing water,keep infected area dry,use clean cloths
Fungal infection,Fungal infection is a common skin condition caused by fungi.,"['Antifungal Diet', 'Probiotics', 'Garlic', 'Coconut oil', 'Turmeric']","['Antifungal Cream', 'Fluconazole', 'Terbinafine', 'Clotrimazole', 'Ketoconazole']",bath twice,use detol or neem in bathing water,keep infected area dry,use clean cloths
Fungal infection,Fungal infection is a common skin condition caused by fungi.,"['Antifungal Diet', 'Probiotics', 'Garlic', 'Coconut oil', 'Turmeric']","['Antifungal Cream', 'Fluconazole', 'Terbinafine', 'Clotrimazole', 'Ketoconazole']",bath twice,use detol or neem in bathing water,keep infected area dry,use clean cloths
Fungal infection,Fungal infection is a common skin condition caused by fungi.,"['Antifungal Diet', 'Probiotics', 'Garlic', 'Coconut oil', 'Turmeric']","['Antifungal Cream', 'Fluconazole', 'Terbinafine', 'Clotrimazole', 'Ketoconazole']",bath twice,use detol or neem in bathing water,keep infected area dry,use clean cloths
Fungal infection,Fungal infection is a common skin condition caused by fungi.,"['Antifungal Diet', 'Probiotics', 'Garlic', 'Coconut oil', 'Turmeric']","['Antifungal Cream', 'Fluconazole', 'Terbinafine', 'Clotrimazole', 'Ketoconazole']",bath twice,use detol or neem in bathing water,keep infected area dry,use clean cloths
