Disease,Description,Diet,Medication,Unnamed: 0_x,Precaution_1,Precaution_2,Precaution_3,Precaution_4,Unnamed: 0.1,Unnamed: 0_y,workout
Fungal infection,Fungal infection is a common skin condition caused by fungi.,"['Antifungal Diet', 'Probiotics', 'Garlic', 'Coconut oil', 'Turmeric']","['Antifungal Cream', 'Fluconazole', 'Terbinafine', 'Clotrimazole', 'Ketoconazole']",27,bath twice,use detol or neem in bathing water,keep infected area dry,use clean cloths,0,0,Avoid sugary foods
Fungal infection,Fungal infection is a common skin condition caused by fungi.,"['Antifungal Diet', 'Probiotics', 'Garlic', 'Coconut oil', 'Turmeric']","['Antifungal Cream', 'Fluconazole', 'Terbinafine', 'Clotrimazole', 'Ketoconazole']",27,bath twice,use detol or neem in bathing water,keep infected area dry,use clean cloths,1,1,Consume probiotics
Fungal infection,Fungal infection is a common skin condition caused by fungi.,"['Antifungal Diet', 'Probiotics', 'Garlic', 'Coconut oil', 'Turmeric']","['Antifungal Cream', 'Fluconazole', 'Terbinafine', 'Clotrimazole', 'Ketoconazole']",27,bath twice,use detol or neem in bathing water,keep infected area dry,use clean cloths,2,2,Increase intake of garlic
Fungal infection,Fungal infection is a common skin condition caused by fungi.,"['Antifungal Diet', 'Probiotics', 'Garlic', 'Coconut oil', 'Turmeric']","['Antifungal Cream', 'Fluconazole', 'Terbinafine', 'Clotrimazole', 'Ketoconazole']",27,bath twice,use detol or neem in bathing water,keep infected area dry,use clean cloths,3,3,Include yogurt in diet
Fungal infection,Fungal infection is a common skin condition caused by fungi.,"['Antifungal Diet', 'Probiotics', 'Garlic', 'Coconut oil', 'Turmeric']","['Antifungal Cream', 'Fluconazole', 'Terbinafine', 'Clotrimazole', 'Ketoconazole']",27,bath twice,use detol or neem in bathing water,keep infected area dry,use clean cloths,4,4,Limit processed foods
Fungal infection,Fungal infection is a common skin condition caused by fungi.,"['Antifungal Diet', 'Probiotics', 'Garlic', 'Coconut oil', 'Turmeric']","['Antifungal Cream', 'Fluconazole', 'Terbinafine', 'Clotrimazole', 'Ketoconazole']",27,bath twice,use detol or neem in bathing water,keep infected area dry,use clean cloths,5,5,Stay hydrated
Fungal infection,Fungal infection is a common skin condition caused by fungi.,"['Antifungal Diet', 'Probiotics', 'Garlic', 'Coconut oil', 'Turmeric']","['Antifungal Cream', 'Fluconazole', 'Terbinafine', 'Clotrimazole', 'Ketoconazole']",27,bath twice,use detol or neem in bathing water,keep infected area dry,use clean cloths,6,6,Consume green tea
Fungal infection,Fungal infection is a common skin condition caused by fungi.,"['Antifungal Diet', 'Probiotics', 'Garlic', 'Coconut oil', 'Turmeric']","['Antifungal Cream', 'Fluconazole', 'Terbinafine', 'Clotrimazole', 'Ketoconazole']",27,bath twice,use detol or neem in bathing water,keep infected area dry,use clean cloths,7,7,Eat foods rich in zinc
Fungal infection,Fungal infection is a common skin condition caused by fungi.,"['Antifungal Diet', 'Probiotics', 'Garlic', 'Coconut oil', 'Turmeric']","['Antifungal Cream', 'Fluconazole', 'Terbinafine', 'Clotrimazole', 'Ketoconazole']",27,bath twice,use detol or neem in bathing water,keep infected area dry,use clean cloths,8,8,Include turmeric in diet
Fungal infection,Fungal infection is a common skin condition caused by fungi.,"['Antifungal Diet', 'Probiotics', 'Garlic', 'Coconut oil', 'Turmeric']","['Antifungal Cream', 'Fluconazole', 'Terbinafine', 'Clotrimazole', 'Ketoconazole']",27,bath twice,use detol or neem in bathing water,keep infected area dry,use clean cloths,9,9,Eat fruits and vegetables
Allergy,Allergy is an immune system reaction to a substance in the environment.,"['Elimination Diet', 'Omega-3-rich foods', 'Vitamin C-rich foods', 'Quercetin-rich foods', 'Probiotics']","['Antihistamines', 'Decongestants', 'Epinephrine', 'Corticosteroids', 'Immunotherapy']",2,apply calamine,cover area with bandage,,use ice to compress itching,10,10,Avoid allergenic foods
